type,name,size,unit,time
milk,牛奶,80,ml,2017-10-12 09:00
milk,牛奶,100,ml,2017-10-12 11:30
milk,牛奶,100,ml,2017-10-12 16:20
milk,牛奶,70,ml,2017-10-12 20:10
milk,牛奶,30,ml,2017-10-13 10:40
milk,牛奶,50,ml,2017-10-13 11:40
milk,牛奶,100,ml,2017-10-13 14:30
milk,牛奶,90,ml,2017-10-13 17:20
milk,牛奶,70,ml,2017-10-13 20:00
milk,牛奶,50,ml,2017-10-14 09:00
milk,牛奶,60,ml,2017-10-14 10:00
milk,牛奶,110,ml,2017-10-14 13:50
milk,牛奶,60,ml,2017-10-14 15:30
milk,牛奶,110,ml,2017-10-14 19:00
milk,牛奶,30,ml,2017-10-15 10:00
milk,牛奶,90,ml,2017-10-15 11:30
milk,牛奶,120,ml,2017-10-15 15:39
milk,牛奶,60,ml,2017-10-15 19:00
milk,牛奶,40,ml,2017-10-15 15:40
milk,牛奶,50,ml,2017-10-16 00:00
milk,牛奶,50,ml,2017-10-16 09:50
milk,牛奶,30,ml,2017-10-16 11:00
milk,牛奶,120,ml,2017-10-16 14:00
milk,牛奶,40,ml,2017-10-16 17:00
milk,牛奶,160,ml,2017-10-16 20:00
milk,牛奶,50,ml,2017-10-17 10:00
milk,牛奶,30,ml,2017-10-17 12:00
milk,牛奶,70,ml,2017-10-17 16:00
milk,牛奶,100,ml,2017-10-17 18:00
milk,牛奶,125,ml,2017-10-17 21:30
milk,牛奶,70,ml,2017-10-18 08:00
milk,牛奶,60,ml,2017-10-18 09:40
milk,牛奶,90,ml,2017-10-18 12:00
milk,牛奶,60,ml,2017-10-18 15:00
milk,牛奶,50,ml,2017-10-18 18:00
milk,牛奶,80,ml,2017-10-18 21:00
milk,牛奶,80,ml,2017-10-19 10:00
milk,牛奶,70,ml,2017-10-19 13:00
milk,牛奶,50,ml,2017-10-19 15:00
milk,牛奶,100,ml,2017-10-19 18:40
milk,牛奶,100,ml,2017-10-20 09:00
milk,牛奶,80,ml,2017-10-20 11:30
milk,牛奶,110,ml,2017-10-20 16:00
milk,牛奶,110,ml,2017-10-20 20:00
milk,牛奶,10,ml,2017-10-21 09:00
milk,牛奶,25,ml,2017-10-21 11:30
milk,牛奶,40,ml,2017-10-21 13:30
milk,牛奶,55,ml,2017-10-21 17:40
milk,牛奶,120,ml,2017-10-21 20:00
milk,牛奶,110,ml,2017-10-22 08:00
milk,牛奶,40,ml,2017-10-22 11:50
milk,牛奶,50,ml,2017-10-22 13:00
milk,牛奶,55,ml,2017-10-22 15:20
milk,牛奶,100,ml,2017-10-22 19:40
milk,牛奶,100,ml,2017-10-23 10:20
milk,牛奶,100,ml,2017-10-23 13:20
milk,牛奶,40,ml,2017-10-23 17:20
milk,牛奶,80,ml,2017-10-23 20:20
milk,牛奶,80,ml,2017-10-24 09:20
milk,牛奶,90,ml,2017-10-24 12:50
milk,牛奶,100,ml,2017-10-24 16:50
milk,牛奶,110,ml,2017-10-24 20:00
milk,牛奶,50,ml,2017-10-24 20:10
milk,牛奶,20,ml,2017-10-24 23:50
milk,牛奶,80,ml,2017-10-25 08:20
milk,牛奶,20,ml,2017-10-25 12:00
milk,牛奶,40,ml,2017-10-25 13:00
milk,牛奶,35,ml,2017-10-25 16:00
milk,牛奶,100,ml,2017-10-25 20:00
milk,牛奶,100,ml,2017-10-25 21:30
milk,牛奶,110,ml,2017-10-26 10:30
milk,牛奶,90,ml,2017-10-26 12:30
milk,牛奶,100,ml,2017-10-26 16:45
milk,牛奶,90,ml,2017-10-26 20:30
milk,牛奶,30,ml,2017-10-26 21:30
milk,牛奶,70,ml,2017-10-27 02:00
milk,牛奶,50,ml,2017-10-27 06:15
milk,牛奶,120,ml,2017-10-27 10:00
milk,牛奶,90,ml,2017-10-27 13:00
milk,牛奶,110,ml,2017-10-27 17:00
milk,牛奶,100,ml,2017-10-27 20:10
milk,牛奶,110,ml,2017-10-28 05:00
milk,牛奶,120,ml,2017-10-28 09:20
milk,牛奶,100,ml,2017-10-28 15:20
milk,牛奶,50,ml,2017-10-28 19:00
health,鱼肝油,1,粒,2017-10-28
milk,牛奶,130,ml,2017-10-29 04:00
milk,牛奶,110,ml,2017-10-29 08:20
milk,牛奶,120,ml,2017-10-29 11:20
milk,牛奶,130,ml,2017-10-29 15:00
milk,牛奶,130,ml,2017-10-29 19:20
health,鱼肝油,1,粒,2017-10-29
milk,牛奶,140,ml,2017-10-30 05:00
milk,牛奶,50,ml,2017-10-30 07:30
milk,牛奶,90,ml,2017-10-30 09:00
milk,牛奶,110,ml,2017-10-30 12:30
milk,牛奶,110,ml,2017-10-30 16:30
milk,牛奶,120,ml,2017-10-30 20:30
water,水,30,ml,2017-10-30 11:40
water,水,40,ml,2017-10-30 17:45
health,鱼肝油,1,粒,2017-10-30
health,益生菌,1,粒,2017-10-30
milk,牛奶,110,ml,2017-10-31 05:20
milk,牛奶,90,ml,2017-10-31 09:10
milk,牛奶,130,ml,2017-10-31 13:30
milk,牛奶,120,ml,2017-10-31 16:20
milk,牛奶,170,ml,2017-10-31 20:20
water,水,10,ml,2017-10-31 09:00
water,水,20,ml,2017-10-31 09:30
water,水,50,ml,2017-10-31 15:40
health,鱼肝油,1,粒,2017-10-31
health,益生菌,1,粒,2017-10-31
milk,牛奶,100,ml,2017-11-01 07:55
milk,牛奶,140,ml,2017-11-01 12:00
milk,牛奶,150,ml,2017-11-01 15:40
milk,牛奶,40,ml,2017-11-01 18:22
milk,牛奶,160,ml,2017-11-01 20:00
water,水,20,ml,2017-11-01 07:20
water,水,10,ml,2017-11-01 11:50
water,水,30,ml,2017-11-01 14:05
health,鱼肝油,1,粒,2017-11-01
milk,牛奶,120,ml,2017-11-02 05:20
milk,牛奶,160,ml,2017-11-02 09:05
milk,牛奶,190,ml,2017-11-02 12:30
milk,牛奶,130,ml,2017-11-02 16:30
milk,牛奶,130,ml,2017-11-02 19:30
water,水,10,ml,2017-11-02 07:00
water,水,40,ml,2017-11-02 10:30
water,水,30,ml,2017-11-02 15:30
health,鱼肝油,1,粒,2017-11-02
health,益生菌,1,粒,2017-11-02
milk,牛奶,50,ml,2017-11-03 00:06
milk,牛奶,120,ml,2017-11-03 06:00
milk,牛奶,140,ml,2017-11-03 10:00
milk,牛奶,130,ml,2017-11-03 13:30
milk,牛奶,180,ml,2017-11-03 17:40
milk,牛奶,130,ml,2017-11-03 20:10
water,水,30,ml,2017-11-03 11:40
water,水,60,ml,2017-11-03 14:35
health,鱼肝油,1,粒,2017-11-03
health,益生菌,1,粒,2017-11-03
milk,牛奶,110,ml,2017-11-04 03:50
milk,牛奶,90,ml,2017-11-04 08:10
milk,牛奶,90,ml,2017-11-04 12:00
milk,牛奶,160,ml,2017-11-04 16:37
milk,牛奶,170,ml,2017-11-04 19:30
complementary_food,米粉,50,ml,2017-11-04 12:00
health,鱼肝油,1,粒,2017-11-04
milk,牛奶,110,ml,2017-11-05 04:30
milk,牛奶,160,ml,2017-11-05 08:30
milk,牛奶,80,ml,2017-11-05 12:45
milk,牛奶,160,ml,2017-11-05 20:00
water,水,20,ml,2017-11-05 07:30
complementary_food,米粉,50,ml,2017-11-05 12:00
health,鱼肝油,1,粒,2017-11-05
milk,牛奶,160,ml,2017-11-06 01:30
milk,牛奶,50,ml,2017-11-06 07:00
milk,牛奶,110,ml,2017-11-06 09:00
milk,牛奶,90,ml,2017-11-06 13:10
milk,牛奶,110,ml,2017-11-06 17:10
milk,牛奶,160,ml,2017-11-06 20:10
water,水,10,ml,2017-11-06 10:30
complementary_food,米粉,50,ml,2017-11-06 12:00
health,鱼肝油,1,粒,2017-11-06
milk,牛奶,130,ml,2017-11-07 04:00
milk,牛奶,80,ml,2017-11-07 07:50
milk,牛奶,100,ml,2017-11-07 11:50
milk,牛奶,100,ml,2017-11-07 15:30
milk,牛奶,190,ml,2017-11-07 20:02
water,水,20,ml,2017-11-07 09:45
water,水,20,ml,2017-11-07 15:10
complementary_food,米粉,50,ml,2017-11-07 12:00
health,鱼肝油,1,粒,2017-11-07
milk,牛奶,135,ml,2017-11-08 04:15
milk,牛奶,140,ml,2017-11-08 08:40
milk,牛奶,100,ml,2017-11-08 12:20
milk,牛奶,190,ml,2017-11-08 16:10
milk,牛奶,180,ml,2017-11-08 20:00
water,水,20,ml,2017-11-08 09:43
water,水,10,ml,2017-11-08 11:45
water,水,40,ml,2017-11-08 15:30
complementary_food,米粉,50,ml,2017-11-08 12:00
health,鱼肝油,1,粒,2017-11-08
milk,牛奶,90,ml,2017-11-09 05:00
milk,牛奶,100,ml,2017-11-09 08:05
milk,牛奶,160,ml,2017-11-09 12:10
milk,牛奶,180,ml,2017-11-09 16:10
milk,牛奶,190,ml,2017-11-09 19:50
water,水,30,ml,2017-11-09 10:30
water,水,20,ml,2017-11-09 14:40
water,水,20,ml,2017-11-09 15:40
complementary_food,米粉,50,ml,2017-11-09 12:00
health,鱼肝油,1,粒,2017-11-09
milk,牛奶,100,ml,2017-11-10 05:00
milk,牛奶,120,ml,2017-11-10 07:45
milk,牛奶,80,ml,2017-11-10 11:35
milk,牛奶,140,ml,2017-11-10 13:35
milk,牛奶,180,ml,2017-11-10 17:00
milk,牛奶,150,ml,2017-11-10 20:05
water,水,10,ml,2017-11-10 07:35
water,水,10,ml,2017-11-10 08:00
complementary_food,米粉,50,ml,2017-11-10 12:00
milk,牛奶,150,ml,2017-11-11 00:50
milk,牛奶,80,ml,2017-11-11 05:00
milk,牛奶,120,ml,2017-11-11 08:40
milk,牛奶,160,ml,2017-11-11 12:30
milk,牛奶,160,ml,2017-11-11 17:30
milk,牛奶,180,ml,2017-11-11 20:00
water,水,30,ml,2017-11-11 10:40
water,水,20,ml,2017-11-11 14:30
complementary_food,米粉,50,ml,2017-11-11 12:00
health,鱼肝油,1,粒,2017-11-11
milk,牛奶,110,ml,2017-11-12 02:20
milk,牛奶,130,ml,2017-11-12 08:00
milk,牛奶,140,ml,2017-11-12 12:00
milk,牛奶,160,ml,2017-11-12 16:10
milk,牛奶,190,ml,2017-11-12 19:40
water,水,10,ml,2017-11-12 08:05
water,水,30,ml,2017-11-12 18:00
complementary_food,米粉,50,ml,2017-11-12 12:00
health,鱼肝油,1,粒,2017-11-12
milk,牛奶,130,ml,2017-11-13 04:00
milk,牛奶,140,ml,2017-11-13 07:50
milk,牛奶,110,ml,2017-11-13 12:20
milk,牛奶,170,ml,2017-11-13 16:10
milk,牛奶,210,ml,2017-11-13 20:15
complementary_food,米粉,50,ml,2017-11-13 12:00
complementary_food,苹果泥,1,勺,2017-11-13 14:00
health,鱼肝油,1,粒,2017-11-13
milk,牛奶,110,ml,2017-11-14 05:10
milk,牛奶,120,ml,2017-11-14 08:00
milk,牛奶,130,ml,2017-11-14 12:00
milk,牛奶,170,ml,2017-11-14 16:00
milk,牛奶,190,ml,2017-11-14 20:10
water,水,20,ml,2017-11-14 14:30
complementary_food,米粉,50,ml,2017-11-14 12:00
complementary_food,苹果泥,1,勺,2017-11-14 10:30
health,鱼肝油,1,粒,2017-11-14
milk,牛奶,110,ml,2017-11-15 05:00
milk,牛奶,150,ml,2017-11-15 08:45
milk,牛奶,130,ml,2017-11-15 12:20
milk,牛奶,150,ml,2017-11-15 16:00
milk,牛奶,180,ml,2017-11-15 20:00
water,水,20,ml,2017-11-15 09:40
complementary_food,米粉,50,ml,2017-11-15 12:00
health,鱼肝油,1,粒,2017-11-15
health,益生菌,1,粒,2017-11-15
milk,牛奶,160,ml,2017-11-16 03:10
milk,牛奶,80,ml,2017-11-16 08:30
milk,牛奶,80,ml,2017-11-16 09:15
milk,牛奶,120,ml,2017-11-16 12:00
milk,牛奶,160,ml,2017-11-16 16:00
milk,牛奶,200,ml,2017-11-16 20:00
water,水,10,ml,2017-11-16 08:05
complementary_food,米粉,50,ml,2017-11-16 12:00
health,鱼肝油,1,粒,2017-11-16
milk,牛奶,140,ml,2017-11-17 03:00
milk,牛奶,110,ml,2017-11-17 08:00
milk,牛奶,160,ml,2017-11-17 12:00
milk,牛奶,150,ml,2017-11-17 15:40
milk,牛奶,140,ml,2017-11-17 18:50
milk,牛奶,130,ml,2017-11-17 22:55
water,水,20,ml,2017-11-17 11:05
water,水,40,ml,2017-11-17 14:30
water,水,20,ml,2017-11-17 19:15
complementary_food,米粉,50,ml,2017-11-17 12:00
health,鱼肝油,1,粒,2017-11-17
milk,牛奶,100,ml,2017-11-18 05:55
milk,牛奶,130,ml,2017-11-18 08:40
milk,牛奶,110,ml,2017-11-18 12:20
milk,牛奶,240,ml,2017-11-18 16:00
milk,牛奶,110,ml,2017-11-18 19:15
water,水,30,ml,2017-11-18 10:30
water,水,20,ml,2017-11-18 16:40
complementary_food,米粉,50,ml,2017-11-18 12:00
complementary_food,胡萝卜,1,片,2017-11-18 16:00
health,鱼肝油,1,粒,2017-11-18
health,益生菌,1,粒,2017-11-18
milk,牛奶,190,ml,2017-11-19 01:30
milk,牛奶,190,ml,2017-11-19 07:00
milk,牛奶,190,ml,2017-11-19 11:20
milk,牛奶,180,ml,2017-11-19 16:30
milk,牛奶,180,ml,2017-11-19 19:45
complementary_food,米粉,50,ml,2017-11-19 12:00
complementary_food,胡萝卜,1,片,2017-11-19 16:00
health,鱼肝油,1,粒,2017-11-19
health,益生菌,1,粒,2017-11-19
milk,牛奶,120,ml,2017-11-20 00:20
milk,牛奶,150,ml,2017-11-20 08:30
milk,牛奶,120,ml,2017-11-20 11:50
milk,牛奶,200,ml,2017-11-20 16:00
milk,牛奶,190,ml,2017-11-20 20:00
water,水,40,ml,2017-11-20 14:30
complementary_food,米粉,50,ml,2017-11-20 12:00
health,鱼肝油,1,粒,2017-11-20
milk,牛奶,130,ml,2017-11-21 02:50
milk,牛奶,100,ml,2017-11-21 09:30
milk,牛奶,160,ml,2017-11-21 12:00
milk,牛奶,180,ml,2017-11-21 16:00
milk,牛奶,185,ml,2017-11-21 20:00
water,水,40,ml,2017-11-21 17:00
complementary_food,米粉,50,ml,2017-11-21 12:00
health,鱼肝油,1,粒,2017-11-21
milk,牛奶,120,ml,2017-11-22 01:40
milk,牛奶,150,ml,2017-11-22 09:00
milk,牛奶,150,ml,2017-11-22 12:00
milk,牛奶,180,ml,2017-11-22 16:00
milk,牛奶,170,ml,2017-11-22 21:30
water,水,30,ml,2017-11-22 11:38
complementary_food,米粉,50,ml,2017-11-22 12:00
health,鱼肝油,1,粒,2017-11-22
health,益生菌,1,粒,2017-11-22
milk,牛奶,120,ml,2017-11-23 03:05
milk,牛奶,130,ml,2017-11-23 08:10
milk,牛奶,110,ml,2017-11-23 12:00
milk,牛奶,160,ml,2017-11-23 16:10
milk,牛奶,190,ml,2017-11-23 20:00
water,水,20,ml,2017-11-23 14:15
complementary_food,米粉,50,ml,2017-11-23 12:00
health,鱼肝油,1,粒,2017-11-23
health,益生菌,1,粒,2017-11-23
milk,牛奶,200,ml,2017-11-24 08:15
milk,牛奶,70,ml,2017-11-24 12:30
milk,牛奶,160,ml,2017-11-24 16:10
milk,牛奶,220,ml,2017-11-24 20:00
water,水,20,ml,2017-11-24 11:30
complementary_food,米粉,60,ml,2017-11-24 12:00
health,鱼肝油,1,粒,2017-11-24
milk,牛奶,130,ml,2017-11-25 05:50
milk,牛奶,90,ml,2017-11-25 08:20
milk,牛奶,70,ml,2017-11-25 13:00
milk,牛奶,100,ml,2017-11-25 16:40
milk,牛奶,150,ml,2017-11-25 19:30
complementary_food,米粉,80,ml,2017-11-25 12:00
complementary_food,蓝莓,15,粒,2017-11-25 16:00
health,鱼肝油,1,粒,2017-11-25
health,益生菌,1,粒,2017-11-25
milk,牛奶,150,ml,2017-11-26 05:00
milk,牛奶,110,ml,2017-11-26 08:00
milk,牛奶,110,ml,2017-11-26 12:20
milk,牛奶,140,ml,2017-11-26 16:00
milk,牛奶,190,ml,2017-11-26 19:40
complementary_food,米粉,50,ml,2017-11-26 12:00
complementary_food,蓝莓,15,粒,2017-11-26 16:00
health,鱼肝油,1,粒,2017-11-26
health,益生菌,1,粒,2017-11-26
milk,牛奶,120,ml,2017-11-27 05:00
milk,牛奶,100,ml,2017-11-27 08:00
milk,牛奶,160,ml,2017-11-27 12:00
milk,牛奶,140,ml,2017-11-27 16:00
milk,牛奶,180,ml,2017-11-27 20:00
water,水,30,ml,2017-11-27 14:30
water,水,30,ml,2017-11-27 18:00
complementary_food,米粉,50,ml,2017-11-27 12:00
complementary_food,蓝莓,15,粒,2017-11-27 16:00
health,鱼肝油,1,粒,2017-11-27
milk,牛奶,150,ml,2017-11-28 05:00
milk,牛奶,90,ml,2017-11-28 08:50
milk,牛奶,60,ml,2017-11-28 12:20
milk,牛奶,170,ml,2017-11-28 16:15
milk,牛奶,170,ml,2017-11-28 20:00
water,水,20,ml,2017-11-28 10:30
water,水,40,ml,2017-11-28 14:30
water,水,20,ml,2017-11-28 18:00
complementary_food,米粉,50,ml,2017-11-28 12:00
complementary_food,蓝莓,15,粒,2017-11-28 16:00
health,鱼肝油,1,粒,2017-11-28
milk,牛奶,120,ml,2017-11-29 05:00
milk,牛奶,130,ml,2017-11-29 08:10
milk,牛奶,70,ml,2017-11-29 12:00
milk,牛奶,200,ml,2017-11-29 16:00
milk,牛奶,210,ml,2017-11-29 20:05
water,水,30,ml,2017-11-29 11:20
water,水,40,ml,2017-11-29 15:20
complementary_food,米粉,50,ml,2017-11-29 12:00
health,鱼肝油,1,粒,2017-11-29
milk,牛奶,160,ml,2017-11-30 05:00
milk,牛奶,100,ml,2017-11-30 08:10
milk,牛奶,130,ml,2017-11-30 13:00
milk,牛奶,190,ml,2017-11-30 16:00
milk,牛奶,180,ml,2017-11-30 19:40
water,水,30,ml,2017-11-30 15:16
complementary_food,米粉,50,ml,2017-11-30 12:00
health,鱼肝油,1,粒,2017-11-30
milk,牛奶,130,ml,2017-12-01 08:10
milk,牛奶,150,ml,2017-12-01 12:00
milk,牛奶,200,ml,2017-12-01 16:50
milk,牛奶,200,ml,2017-12-01 20:00
water,水,30,ml,2017-12-01 09:50
water,水,40,ml,2017-12-01 15:10
complementary_food,米粉,50,ml,2017-12-01 12:00
health,鱼肝油,1,粒,2017-12-01
